Rank,Name,Platform,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
800,Game_800,XOne,2004,Role-Playing,Sony Computer Entertainment,0.73,0.18,0.07,0.58,1.55
801,Game_801,PS2,1981,Misc,Ubisoft,0.3,0.19,0.05,0.16,0.7
802,Game_802,3DS,2014,Sports,Ubisoft,0.66,0.56,0.65,0.88,2.75
803,Game_803,3DS,2009,Shooter,Nintendo,0.64,0.29,0.3,1.45,2.67
804,Game_804,X360,2016,Racing,THQ,0.18,0.12,0.02,0.48,0.8
805,Game_805,X360,2011,Platform,Konami Digital Entertainment,0.24,0.16,0.06,0.35,0.81
806,Game_806,PS4,2005,Fighting,Namco Bandai Games,0.2,0.13,0.04,0.11,0.48
807,Game_807,PS2,2004,Action,Activision,0.72,0.61,0.3,0.54,2.17
808,Game_808,PS2,2005,Platform,Namco Bandai Games,1.7,1.19,0.3,4.03,7.22
809,Game_809,PSP,1991,Sports,Nintendo,0.56,0.34,0.46,0.77,2.13
810,Game_810,XOne,1996,Misc,THQ,1.65,0.68,0.24,0.39,2.96
811,Game_811,3DS,2012,Sports,Activision,2.46,1.21,0.34,0.42,4.42
812,Game_812,PS2,2015,Action,Activision,2.07,1.52,0.84,3.49,7.91
813,Game_813,PS3,1994,Misc,Nintendo,0.19,0.2,0.04,0.35,0.78
814,Game_814,PS3,2016,Fighting,THQ,0.12,0.03,0.04,0.11,0.29
815,Game_815,3DS,2002,Role-Playing,Namco Bandai Games,6.84,4.05,2.9,0.25,12.51
816,Game_816,3DS,1991,Shooter,Capcom,4.59,2.34,0.68,3.86,11.46
817,Game_817,PS4,1995,Role-Playing,Sega,0.08,0.03,0.03,0.11,0.24
818,Game_818,DS,2007,Action,Capcom,0.52,0.31,0.08,0.42,1.33
819,Game_819,PS3,2004,Platform,Sony Computer Entertainment,0.49,0.2,0.25,0.13,1.07
820,Game_820,PS2,1989,Adventure,Activision,0.4,0.2,0.11,0.01,0.68
821,Game_821,PSP,2008,Simulation,Namco Bandai Games,0.19,0.12,0.03,0.21,0.55
822,Game_822,XOne,1991,Fighting,Capcom,0.64,0.23,0.19,0.63,1.69
823,Game_823,DS,2016,Platform,Ubisoft,0.15,0.09,0.03,0.05,0.33
824,Game_824,XOne,1984,Misc,Namco Bandai Games,3.99,1.53,0.95,1.34,7.8
825,Game_825,XOne,2002,Sports,Electronic Arts,0.76,0.28,0.15,0.36,1.55
826,Game_826,DS,1996,Adventure,Konami Digital Entertainment,1.73,2.01,1.35,2.31,7.4
827,Game_827,Wii,2002,Fighting,Nintendo,0.1,0.05,0.08,0.21,0.44
828,Game_828,GBA,2007,Racing,Capcom,0.01,0.01,0.0,0.02,0.04
829,Game_829,XOne,2012,Shooter,Ubisoft,2.92,0.94,0.66,3.43,7.95
830,Game_830,PS2,2016,Adventure,THQ,1.4,0.38,0.52,1.14,3.43
831,Game_831,3DS,2015,Simulation,Sega,2.1,0.52,0.57,1.29,4.48
832,Game_832,PS3,1997,Simulation,Electronic Arts,0.8,0.4,0.15,0.16,1.5
833,Game_833,PS4,2015,Misc,Konami Digital Entertainment,0.9,0.52,0.24,2.42,4.08
834,Game_834,X360,2010,Shooter,THQ,0.96,0.44,0.48,0.06,1.94
835,Game_835,GBA,1998,Sports,Sony Computer Entertainment,0.64,0.35,0.32,0.03,1.28
836,Game_836,XOne,1999,Misc,Capcom,0.18,0.12,0.1,0.09,0.49
837,Game_837,PS2,2008,Shooter,Nintendo,0.11,0.09,0.01,0.06,0.27
838,Game_838,GBA,2001,Action,Sega,0.1,0.1,0.06,0.05,0.31
839,Game_839,PSP,2011,Adventure,Ubisoft,0.16,0.08,0.02,0.01,0.28
840,Game_840,PSP,2008,Adventure,Nintendo,0.47,0.14,0.19,0.38,1.19
841,Game_841,GBA,2010,Fighting,Capcom,0.58,0.2,0.35,0.75,1.87
842,Game_842,GBA,1986,Racing,Activision,0.2,0.08,0.04,0.01,0.33
843,Game_843,PS3,1999,Sports,THQ,16.56,20.63,5.37,31.04,73.6
844,Game_844,PS2,2010,Action,Capcom,0.63,0.44,0.35,0.18,1.6
845,Game_845,PS2,2001,Role-Playing,THQ,0.57,0.26,0.19,0.08,1.1
846,Game_846,PS2,2012,Simulation,Nintendo,0.07,0.02,0.03,0.05,0.18
847,Game_847,X360,2005,Shooter,Sony Computer Entertainment,0.4,0.31,0.06,0.24,1.01
848,Game_848,3DS,1999,Misc,THQ,0.21,0.25,0.04,0.23,0.72
849,Game_849,PS4,2002,Misc,Capcom,0.14,0.14,0.01,0.33,0.62
850,Game_850,Wii,1990,Role-Playing,Sega,1.28,0.77,0.96,1.11,4.12
851,Game_851,PS2,1996,Sports,THQ,3.54,2.92,2.36,3.64,12.46
852,Game_852,PS3,2009,Misc,Konami Digital Entertainment,2.88,0.51,1.02,0.39,4.8
853,Game_853,DS,2002,Sports,Sega,3.03,1.17,0.87,0.38,5.46
854,Game_854,PS2,1995,Fighting,Konami Digital Entertainment,0.09,0.06,0.07,0.05,0.28
855,Game_855,PS2,2010,Shooter,Sony Computer Entertainment,0.42,0.29,0.19,0.35,1.25
856,Game_856,PS3,1982,Fighting,Electronic Arts,0.07,0.09,0.07,0.08,0.3
857,Game_857,PSP,1997,Fighting,Activision,0.1,0.08,0.04,0.07,0.29
858,Game_858,PS4,2002,Adventure,THQ,1.02,0.52,0.14,0.75,2.42
859,Game_859,XOne,2009,Role-Playing,Nintendo,4.21,2.08,0.29,0.72,7.3
860,Game_860,PS2,2010,Action,Konami Digital Entertainment,0.6,0.64,0.27,0.65,2.16
861,Game_861,X360,2000,Action,Namco Bandai Games,0.2,0.22,0.1,0.15,0.68
862,Game_862,PS4,2006,Misc,Ubisoft,0.28,0.23,0.13,0.35,0.98
863,Game_863,PSP,1998,Role-Playing,Nintendo,0.15,0.16,0.02,0.31,0.64
864,Game_864,PS3,2010,Platform,Sega,1.11,0.77,0.54,1.56,3.97
865,Game_865,PSP,2011,Platform,Sony Computer Entertainment,2.78,0.81,0.17,0.96,4.72
866,Game_866,PS3,2001,Misc,THQ,1.81,0.67,0.86,1.62,4.95
867,Game_867,3DS,2006,Simulation,Nintendo,14.2,9.48,8.26,15.03,46.98
868,Game_868,PSP,1997,Shooter,Nintendo,0.14,0.09,0.1,0.12,0.44
869,Game_869,PS4,2015,Sports,Activision,0.12,0.08,0.03,0.16,0.39
870,Game_870,3DS,2000,Racing,Electronic Arts,0.32,0.16,0.07,0.19,0.74
871,Game_871,GBA,2011,Racing,Nintendo,3.59,3.01,2.54,2.37,11.52
872,Game_872,GBA,1987,Simulation,Nintendo,0.45,0.09,0.07,0.21,0.82
873,Game_873,X360,2014,Shooter,Konami Digital Entertainment,0.01,0.01,0.0,0.01,0.04
874,Game_874,3DS,2013,Adventure,Capcom,2.4,1.28,0.49,0.66,4.84
875,Game_875,PS3,2013,Action,Nintendo,0.19,0.13,0.12,0.15,0.59
876,Game_876,DS,2015,Shooter,Ubisoft,3.88,2.46,1.79,5.19,13.32
877,Game_877,PS3,2004,Adventure,THQ,0.18,0.08,0.04,0.18,0.48
878,Game_878,DS,2012,Misc,Namco Bandai Games,0.64,0.14,0.19,0.31,1.28
879,Game_879,XOne,2012,Action,Activision,0.36,0.42,0.13,0.35,1.26
880,Game_880,Wii,1994,Fighting,Activision,7.16,2.72,0.68,2.34,12.9
881,Game_881,PS4,2012,Shooter,Sega,1.78,0.67,0.62,0.15,3.22
882,Game_882,DS,2016,Fighting,Capcom,1.89,0.79,0.18,1.61,4.47
883,Game_883,PS4,1981,Fighting,Sony Computer Entertainment,0.1,0.05,0.03,0.18,0.36
884,Game_884,3DS,2012,Role-Playing,Ubisoft,0.17,0.06,0.03,0.12,0.38
885,Game_885,Wii,2006,Platform,Namco Bandai Games,2.82,2.57,0.24,1.76,7.39
886,Game_886,GBA,2001,Racing,Electronic Arts,0.19,0.07,0.05,0.12,0.43
887,Game_887,PS3,2012,Action,Activision,0.03,0.02,0.02,0.05,0.12
888,Game_888,GBA,1998,Action,Electronic Arts,0.1,0.1,0.07,0.14,0.41
889,Game_889,PS2,2002,Fighting,Capcom,0.66,0.3,0.08,1.38,2.41
890,Game_890,PS4,2010,Sports,Konami Digital Entertainment,2.43,2.56,2.57,3.38,10.93
891,Game_891,PSP,2008,Misc,Capcom,0.11,0.11,0.02,0.24,0.48
892,Game_892,XOne,2016,Sports,Konami Digital Entertainment,1.72,1.75,0.54,1.22,5.23
893,Game_893,PSP,2002,Racing,Ubisoft,10.57,6.2,3.0,1.9,21.67
894,Game_894,3DS,2001,Misc,Ubisoft,7.43,3.69,3.99,3.32,18.43
895,Game_895,GBA,2004,Action,Namco Bandai Games,2.63,2.78,1.41,1.67,8.48
896,Game_896,PSP,1989,Fighting,Namco Bandai Games,0.09,0.03,0.01,0.04,0.18
897,Game_897,PS4,2011,Sports,Activision,1.47,0.44,0.6,1.16,3.67
898,Game_898,XOne,2001,Fighting,Activision,0.51,0.42,0.34,0.61,1.89
899,Game_899,PS2,1985,Fighting,Capcom,0.54,0.31,0.06,0.02,0.93
900,Game_900,X360,2001,Sports,Sega,0.05,0.03,0.01,0.0,0.09
901,Game_901,PSP,2005,Adventure,Nintendo,0.05,0.02,0.03,0.08,0.19
902,Game_902,PSP,1998,Action,Ubisoft,0.46,0.28,0.12,0.03,0.88
903,Game_903,DS,2003,Role-Playing,Namco Bandai Games,0.13,0.07,0.04,0.02,0.26
904,Game_904,DS,1991,Role-Playing,Ubisoft,8.93,3.85,2.77,0.66,16.2
905,Game_905,PS4,2002,Adventure,Sony Computer Entertainment,0.55,0.24,0.26,1.05,2.1
906,Game_906,DS,1987,Sports,Capcom,21.21,7.44,6.6,6.93,42.18
907,Game_907,Wii,2006,Action,Electronic Arts,0.34,0.08,0.08,0.11,0.61
908,Game_908,DS,2014,Action,Electronic Arts,2.11,1.02,1.22,0.76,5.11
909,Game_909,GBA,2009,Action,THQ,14.65,4.7,1.59,6.2,27.14
910,Game_910,Wii,2002,Platform,Nintendo,1.61,1.11,1.07,3.69,7.49
911,Game_911,PS4,2015,Sports,Sega,0.25,0.09,0.02,0.28,0.64
912,Game_912,PS2,2015,Platform,Namco Bandai Games,0.03,0.04,0.02,0.03,0.12
913,Game_913,X360,2010,Adventure,Electronic Arts,0.34,0.14,0.08,0.17,0.73
914,Game_914,XOne,2010,Shooter,Konami Digital Entertainment,1.08,1.2,0.35,1.85,4.48
915,Game_915,PS4,1984,Misc,Capcom,0.93,0.27,0.06,0.43,1.7
916,Game_916,Wii,2001,Action,Sony Computer Entertainment,0.1,0.04,0.05,0.02,0.21
917,Game_917,GBA,2010,Role-Playing,Electronic Arts,0.3,0.14,0.14,0.07,0.66
918,Game_918,DS,2015,Role-Playing,Sega,2.73,1.06,0.9,0.63,5.32
919,Game_919,PS4,1994,Shooter,Ubisoft,1.09,0.91,0.91,1.39,4.3
920,Game_920,X360,2000,Misc,Sega,1.65,0.54,0.85,1.12,4.16
921,Game_921,PS2,1998,Adventure,Capcom,0.31,0.21,0.17,0.31,1.0
922,Game_922,X360,2004,Simulation,Activision,0.47,0.52,0.22,0.37,1.58
923,Game_923,GBA,1983,Role-Playing,Konami Digital Entertainment,0.09,0.06,0.03,0.04,0.22
924,Game_924,GBA,2011,Role-Playing,Activision,0.78,0.18,0.29,0.45,1.69
925,Game_925,3DS,2008,Fighting,Sega,0.58,0.44,0.36,0.93,2.31
926,Game_926,PS3,2013,Platform,THQ,1.95,0.36,0.23,0.96,3.5
927,Game_927,3DS,2016,Platform,Ubisoft,0.61,0.31,0.32,0.08,1.32
928,Game_928,DS,2011,Misc,Namco Bandai Games,0.03,0.01,0.01,0.03,0.09
929,Game_929,Wii,2015,Fighting,THQ,2.49,0.58,0.63,0.72,4.43
930,Game_930,3DS,2014,Adventure,Electronic Arts,5.32,3.96,2.21,11.84,23.33
931,Game_931,GBA,2015,Sports,Capcom,5.89,1.18,2.69,1.89,11.64
932,Game_932,GBA,1996,Fighting,Capcom,46.93,10.8,16.08,7.33,81.15
933,Game_933,PS4,1998,Shooter,Nintendo,0.39,0.3,0.29,0.71,1.68
934,Game_934,DS,1997,Platform,Activision,2.24,2.23,1.01,1.8,7.28
935,Game_935,Wii,2004,Fighting,Konami Digital Entertainment,0.63,0.26,0.14,0.13,1.16
936,Game_936,DS,2008,Simulation,Sony Computer Entertainment,1.01,0.34,0.46,0.2,2.01
937,Game_937,X360,2013,Shooter,Konami Digital Entertainment,0.36,0.32,0.18,0.06,0.92
938,Game_938,3DS,1996,Action,Ubisoft,0.86,0.7,0.47,0.34,2.37
939,Game_939,X360,1997,Sports,Sega,0.49,0.11,0.17,0.1,0.86
940,Game_940,GBA,2012,Shooter,THQ,0.2,0.1,0.08,0.26,0.64
941,Game_941,X360,1998,Simulation,Capcom,0.45,0.24,0.22,0.23,1.14
942,Game_942,GBA,2003,Simulation,Activision,0.93,0.58,0.47,1.48,3.45
943,Game_943,Wii,1993,Racing,Sega,1.2,0.75,0.78,0.47,3.2
944,Game_944,PS4,1998,Adventure,Ubisoft,0.76,0.33,0.26,0.42,1.77
945,Game_945,GBA,1989,Adventure,Sega,0.28,0.29,0.06,0.44,1.07
946,Game_946,PS3,2012,Simulation,THQ,2.58,1.6,1.23,0.45,5.86
947,Game_947,GBA,1988,Adventure,Electronic Arts,1.61,0.47,0.65,0.11,2.84
948,Game_948,PS2,2000,Role-Playing,Nintendo,0.58,0.75,0.33,1.01,2.66
949,Game_949,PSP,1998,Action,Sony Computer Entertainment,0.06,0.02,0.0,0.05,0.13
950,Game_950,3DS,2004,Racing,Capcom,0.25,0.11,0.01,0.06,0.43
951,Game_951,PS3,2004,Action,Konami Digital Entertainment,1.0,0.55,0.07,0.64,2.27
952,Game_952,PS2,1993,Racing,Sega,0.4,0.24,0.09,0.28,1.0
953,Game_953,PS2,2016,Racing,Nintendo,0.15,0.03,0.03,0.03,0.25
954,Game_954,PS3,2002,Fighting,Nintendo,0.71,0.27,0.17,0.42,1.58
955,Game_955,Wii,2010,Sports,Namco Bandai Games,0.46,0.18,0.16,0.49,1.28
956,Game_956,GBA,2012,Role-Playing,Sony Computer Entertainment,12.0,8.81,4.1,0.77,25.67
957,Game_957,XOne,1992,Simulation,Sega,0.88,0.62,0.08,0.66,2.24
958,Game_958,3DS,1996,Adventure,Sega,0.04,0.02,0.01,0.08,0.14
959,Game_959,GBA,2016,Role-Playing,Ubisoft,1.89,0.65,0.59,0.14,3.27
960,Game_960,X360,2005,Fighting,Sony Computer Entertainment,14.9,10.62,9.07,3.79,38.37
961,Game_961,PS2,2001,Shooter,Ubisoft,0.62,0.64,0.42,0.62,2.31
962,Game_962,PS2,1997,Role-Playing,Konami Digital Entertainment,0.21,0.21,0.04,0.28,0.74
963,Game_963,PS3,2014,Adventure,Nintendo,0.57,0.27,0.32,1.12,2.29
964,Game_964,X360,2003,Misc,Sega,0.22,0.11,0.09,0.05,0.47
965,Game_965,PS3,2013,Sports,Activision,0.37,0.11,0.07,0.07,0.62
966,Game_966,DS,2009,Shooter,Electronic Arts,0.6,0.29,0.08,0.1,1.08
967,Game_967,GBA,1989,Platform,Sony Computer Entertainment,35.96,19.87,8.56,24.33,88.72
968,Game_968,GBA,1989,Adventure,Ubisoft,0.77,0.33,0.43,0.5,2.03
969,Game_969,PS3,2005,Role-Playing,Namco Bandai Games,0.2,0.08,0.05,0.09,0.43
970,Game_970,Wii,2005,Action,Namco Bandai Games,0.94,1.36,0.77,1.16,4.23
971,Game_971,DS,1996,Adventure,Electronic Arts,0.38,0.22,0.06,0.64,1.3
972,Game_972,Wii,2009,Action,Activision,1.05,0.42,0.42,0.4,2.29
973,Game_973,GBA,2007,Role-Playing,Konami Digital Entertainment,0.48,0.19,0.15,0.05,0.87
974,Game_974,GBA,2005,Shooter,Electronic Arts,1.95,0.6,0.83,0.07,3.33
975,Game_975,PS2,2013,Fighting,Electronic Arts,3.95,2.18,0.83,1.63,8.59
976,Game_976,PSP,2013,Fighting,Electronic Arts,0.37,0.25,0.02,0.29,0.93
977,Game_977,X360,2014,Sports,Ubisoft,0.5,0.25,0.22,0.28,1.25
978,Game_978,DS,2003,Simulation,Namco Bandai Games,0.18,0.11,0.07,0.01,0.32
979,Game_979,GBA,2010,Sports,Nintendo,1.03,0.64,0.21,0.04,1.88
980,Game_980,DS,2006,Action,Sega,17.86,16.95,16.85,19.22,70.88
981,Game_981,PSP,2003,Adventure,Electronic Arts,1.27,0.41,0.18,0.54,2.41
982,Game_982,X360,2012,Shooter,Capcom,0.17,0.1,0.08,0.07,0.43
983,Game_983,X360,2001,Sports,Electronic Arts,1.83,0.83,0.54,1.74,4.94
984,Game_984,PSP,2013,Action,Konami Digital Entertainment,0.42,0.15,0.09,0.15,0.81
985,Game_985,PS4,2003,Action,Activision,0.43,0.29,0.11,0.03,0.86
986,Game_986,Wii,1997,Role-Playing,Namco Bandai Games,3.46,3.48,1.93,5.43,14.3
987,Game_987,PS2,2014,Racing,Sega,0.72,0.53,0.33,0.17,1.74
988,Game_988,GBA,2010,Action,THQ,0.07,0.04,0.04,0.05,0.21
989,Game_989,PSP,1999,Sports,Namco Bandai Games,0.98,0.35,0.23,0.46,2.02
990,Game_990,Wii,1997,Action,Namco Bandai Games,1.25,0.35,0.17,1.73,3.49
991,Game_991,PS4,2006,Simulation,Activision,1.12,0.99,0.09,0.76,2.96
992,Game_992,PS2,2014,Sports,Electronic Arts,5.67,1.45,0.22,2.18,9.51
993,Game_993,DS,2016,Misc,Nintendo,1.14,1.15,0.75,0.47,3.51
994,Game_994,PSP,2014,Fighting,THQ,0.31,0.12,0.16,0.11,0.7
995,Game_995,PSP,2013,Role-Playing,Electronic Arts,0.92,1.1,0.39,1.48,3.89
996,Game_996,XOne,2010,Fighting,Sega,0.13,0.05,0.05,0.13,0.36
997,Game_997,XOne,1987,Sports,Namco Bandai Games,1.17,0.72,0.06,0.14,2.1
998,Game_998,DS,2001,Platform,Electronic Arts,0.14,0.05,0.03,0.12,0.34
999,Game_999,XOne,2008,Sports,Konami Digital Entertainment,1.11,0.64,0.13,0.23,2.12
1000,Game_1000,PS4,1991,Misc,THQ,3.06,2.01,0.92,0.83,6.83
1001,Game_1001,PS4,2001,Shooter,Konami Digital Entertainment,1.71,1.49,0.76,1.13,5.08
1002,Game_1002,PS3,2014,Simulation,Ubisoft,1.28,0.85,0.72,0.12,2.96
1003,Game_1003,GBA,1989,Simulation,Namco Bandai Games,1.09,0.73,0.35,0.41,2.57
1004,Game_1004,PS2,1999,Platform,Nintendo,0.14,0.03,0.06,0.03,0.26
1005,Game_1005,Wii,1998,Action,Sega,5.59,1.66,1.84,0.91,10.0
1006,Game_1006,GBA,1991,Simulation,Ubisoft,0.7,0.25,0.03,0.37,1.35
1007,Game_1007,PS4,2005,Racing,THQ,0.24,0.35,0.07,0.38,1.04
1008,Game_1008,X360,2015,Sports,Namco Bandai Games,0.04,0.02,0.02,0.07,0.16
1009,Game_1009,PSP,2015,Misc,Electronic Arts,0.76,0.25,0.04,0.8,1.84
1010,Game_1010,PSP,2013,Racing,Konami Digital Entertainment,2.03,1.41,0.77,0.79,4.99
1011,Game_1011,DS,1994,Simulation,Capcom,0.09,0.04,0.09,0.18,0.4
1012,Game_1012,PS4,1992,Role-Playing,Sega,0.04,0.02,0.01,0.0,0.07
1013,Game_1013,PS4,2010,Sports,Sony Computer Entertainment,0.25,0.26,0.25,0.31,1.06
1014,Game_1014,GBA,2014,Action,Activision,0.54,0.34,0.08,0.78,1.74
1015,Game_1015,PSP,2011,Platform,Electronic Arts,0.95,0.94,0.54,0.84,3.27
1016,Game_1016,3DS,2011,Sports,Sony Computer Entertainment,0.25,0.38,0.03,0.53,1.19
1017,Game_1017,GBA,2015,Shooter,Sony Computer Entertainment,12.31,5.73,8.27,8.2,34.51
1018,Game_1018,Wii,2008,Fighting,Namco Bandai Games,0.43,0.52,0.29,0.42,1.66
1019,Game_1019,PS2,1995,Simulation,Konami Digital Entertainment,1.48,0.51,0.35,2.55,4.89
1020,Game_1020,PS3,1988,Action,Sega,0.94,0.74,0.25,1.29,3.23
1021,Game_1021,PS3,2015,Action,Activision,6.71,5.54,4.18,1.2,17.62
1022,Game_1022,PS4,2001,Role-Playing,Sega,0.24,0.09,0.14,0.2,0.66
1023,Game_1023,DS,1986,Action,Namco Bandai Games,6.34,5.69,2.7,3.21,17.94
1024,Game_1024,X360,2004,Sports,Nintendo,3.24,1.56,1.3,0.12,6.14
1025,Game_1025,GBA,2005,Role-Playing,Sega,4.32,1.46,1.12,1.47,8.37
1026,Game_1026,GBA,2003,Simulation,Sega,0.18,0.07,0.03,0.05,0.33
1027,Game_1027,XOne,1984,Fighting,Sony Computer Entertainment,0.11,0.1,0.03,0.06,0.29
1028,Game_1028,GBA,2008,Fighting,Nintendo,0.46,0.19,0.12,0.05,0.83
1029,Game_1029,Wii,2009,Platform,Ubisoft,0.1,0.03,0.03,0.05,0.21
1030,Game_1030,PSP,2007,Shooter,Activision,0.04,0.02,0.01,0.05,0.11
1031,Game_1031,GBA,2006,Shooter,Ubisoft,0.73,0.45,0.15,0.03,1.31
1032,Game_1032,X360,2003,Adventure,Electronic Arts,7.79,4.52,5.53,9.17,27.02
1033,Game_1033,X360,1987,Simulation,Sega,1.94,0.82,0.69,0.48,3.93
1034,Game_1034,PS4,2008,Adventure,THQ,3.09,2.07,0.36,2.42,7.94
1035,Game_1035,PSP,2004,Role-Playing,THQ,0.35,0.2,0.11,0.01,0.67
1036,Game_1036,PSP,2001,Action,THQ,0.85,0.65,0.87,1.1,3.48
1037,Game_1037,XOne,2014,Misc,Capcom,0.07,0.09,0.07,0.05,0.29
1038,Game_1038,3DS,2016,Misc,Namco Bandai Games,1.25,1.36,0.14,1.27,4.02
1039,Game_1039,XOne,2008,Platform,Namco Bandai Games,2.37,0.9,1.34,0.84,5.45
1040,Game_1040,DS,2015,Misc,Capcom,0.3,0.08,0.02,0.12,0.52
1041,Game_1041,X360,1998,Adventure,THQ,2.69,0.83,0.38,1.66,5.56
1042,Game_1042,XOne,2010,Role-Playing,Capcom,2.1,1.97,0.56,1.74,6.37
1043,Game_1043,PS4,2009,Platform,Konami Digital Entertainment,0.1,0.07,0.03,0.21,0.41
1044,Game_1044,PS4,2004,Sports,Ubisoft,0.15,0.05,0.03,0.07,0.3
1045,Game_1045,XOne,2016,Fighting,THQ,3.52,3.18,0.34,4.58,11.62
1046,Game_1046,Wii,2013,Action,Ubisoft,0.17,0.16,0.11,0.14,0.58
1047,Game_1047,PSP,2005,Adventure,Konami Digital Entertainment,0.2,0.15,0.08,0.18,0.61
1048,Game_1048,PS3,2011,Racing,Ubisoft,0.15,0.12,0.11,0.14,0.52
1049,Game_1049,PS3,2001,Shooter,Capcom,1.5,0.82,0.23,0.23,2.78
1050,Game_1050,GBA,2013,Action,Electronic Arts,0.77,0.27,0.45,1.0,2.49
1051,Game_1051,DS,2004,Shooter,Electronic Arts,0.78,0.36,0.27,0.03,1.33
1052,Game_1052,PSP,2003,Simulation,Ubisoft,0.59,0.23,0.28,0.18,1.29
1053,Game_1053,Wii,1992,Racing,Konami Digital Entertainment,1.29,0.73,0.23,2.29,4.53
1054,Game_1054,PS3,2011,Misc,Sega,0.22,0.18,0.11,0.21,0.72
1055,Game_1055,PS4,2002,Misc,Electronic Arts,2.74,1.04,0.7,0.44,4.91
1056,Game_1056,PSP,2003,Adventure,Ubisoft,1.74,1.13,0.43,2.57,5.87
1057,Game_1057,3DS,2007,Simulation,Namco Bandai Games,19.02,12.54,3.95,0.72,36.12
1058,Game_1058,Wii,1987,Misc,Capcom,0.05,0.04,0.04,0.06,0.19
1059,Game_1059,3DS,2012,Platform,Capcom,0.12,0.11,0.03,0.13,0.38
1060,Game_1060,PS4,1995,Sports,THQ,9.94,2.85,3.76,5.47,22.01
1061,Game_1061,3DS,1999,Fighting,Ubisoft,2.21,1.71,0.53,0.54,4.99
1062,Game_1062,DS,2010,Role-Playing,Sega,0.27,0.11,0.13,0.06,0.57
1063,Game_1063,X360,2003,Adventure,Sony Computer Entertainment,5.9,4.23,4.79,9.08,24.0
1064,Game_1064,X360,2002,Sports,Ubisoft,0.77,1.07,0.65,0.7,3.18
1065,Game_1065,3DS,1995,Sports,Ubisoft,1.24,0.64,0.38,0.63,2.89
1066,Game_1066,PS2,2011,Misc,Sony Computer Entertainment,0.11,0.14,0.06,0.2,0.51
1067,Game_1067,Wii,1996,Sports,Capcom,0.05,0.02,0.01,0.03,0.1
1068,Game_1068,DS,2011,Simulation,Sega,0.74,0.24,0.03,0.35,1.36
1069,Game_1069,3DS,1997,Simulation,Electronic Arts,0.06,0.03,0.0,0.09,0.19
1070,Game_1070,PS3,1993,Racing,Activision,0.55,0.38,0.18,0.84,1.96
1071,Game_1071,XOne,2010,Platform,Namco Bandai Games,5.11,4.6,1.74,2.21,13.65
1072,Game_1072,Wii,2014,Misc,Nintendo,0.45,0.26,0.15,0.02,0.79
1073,Game_1073,3DS,2002,Shooter,Capcom,0.26,0.11,0.12,0.29,0.78
1074,Game_1074,PSP,2016,Platform,Ubisoft,0.17,0.13,0.12,0.18,0.6
1075,Game_1075,DS,2008,Racing,Ubisoft,4.8,2.08,1.73,1.14,9.75
1076,Game_1076,DS,2002,Racing,Namco Bandai Games,0.14,0.07,0.06,0.01,0.25
1077,Game_1077,PS3,2016,Adventure,Ubisoft,0.26,0.21,0.12,0.34,0.93
1078,Game_1078,X360,2015,Adventure,THQ,0.21,0.11,0.1,0.06,0.48
1079,Game_1079,3DS,1988,Misc,Capcom,0.7,0.29,0.14,1.51,2.64
1080,Game_1080,PS3,2008,Simulation,Sega,1.17,1.57,1.15,1.69,5.58
1081,Game_1081,3DS,2012,Adventure,Konami Digital Entertainment,1.76,1.03,0.1,1.04,3.93
1082,Game_1082,GBA,2013,Adventure,Sega,1.33,0.53,0.16,1.27,3.29
1083,Game_1083,PSP,2008,Platform,Namco Bandai Games,0.17,0.09,0.03,0.12,0.42
1084,Game_1084,PS3,1985,Shooter,Capcom,0.06,0.02,0.0,0.02,0.11
1085,Game_1085,Wii,1995,Misc,Sega,0.14,0.04,0.08,0.11,0.38
1086,Game_1086,DS,1992,Role-Playing,Nintendo,1.7,1.26,0.71,0.73,4.4
1087,Game_1087,3DS,2013,Sports,Ubisoft,0.62,0.47,0.33,0.18,1.6
1088,Game_1088,GBA,2007,Adventure,Konami Digital Entertainment,2.63,0.53,0.9,0.71,4.76
1089,Game_1089,PS3,2014,Racing,Ubisoft,0.58,0.37,0.18,0.95,2.09
1090,Game_1090,PSP,2006,Fighting,Sega,4.9,1.24,0.69,2.5,9.34
1091,Game_1091,DS,2004,Role-Playing,Activision,1.3,0.51,0.08,0.5,2.39
1092,Game_1092,PS4,2005,Sports,Namco Bandai Games,0.72,0.32,0.16,0.66,1.86
1093,Game_1093,GBA,2006,Simulation,Namco Bandai Games,0.11,0.08,0.02,0.03,0.24
1094,Game_1094,PS4,2005,Shooter,THQ,0.91,0.62,0.34,0.04,1.8
1095,Game_1095,Wii,1995,Platform,Nintendo,5.2,2.01,2.09,0.18,8.93
1096,Game_1096,3DS,2008,Misc,Ubisoft,0.7,0.27,0.05,0.28,1.3
1097,Game_1097,PS2,1981,Role-Playing,Namco Bandai Games,0.27,0.29,0.11,0.34,1.0
1098,Game_1098,3DS,2005,Platform,Capcom,1.55,0.62,1.18,1.44,4.8
1099,Game_1099,PS2,2000,Platform,Konami Digital Entertainment,0.42,0.19,0.07,0.23,0.91
1100,Game_1100,PS4,1996,Fighting,Capcom,0.42,0.42,0.23,0.47,1.55
1101,Game_1101,PS2,2014,Sports,THQ,1.22,0.82,0.57,0.05,2.48
